country,isocode,year,POP,XRAT,Currency_Unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdptt,grgdpch,grgdpl2,grtgdp,grda
Afghanistan,AFG,1980,15043.603,0.044129167,Afghani,0.019261765,8343.275971,554.6062317,599.9262443,616.1892051,72.76280525,7.241673775,22.70634767,43.64860236,43.68726737,51.28039798,25.61431065,25.3748526,25.87627771,4.553411768,4.925496802,1141.51765,1169.81158,1144.806961,72.72489154,7.016790453,21.9919782,21.50069595,1472.550033,4207.71275,4299.616677,1128.959615,-0.533606485,-0.527625053,-3.801732894,-0.255802155
Afghanistan,AFG,1981,13673.679,0.049479902,Afghani,0.018452186,9328.438416,682.2186199,739.0386434,758.5185941,72.24290456,7.264465166,23.12848036,37.29228429,37.35039641,43.96368364,21.72108391,21.70578563,25.67301035,5.043843887,5.463931114,1285.374326,1317.462765,1289.225751,72.31532613,6.973064926,22.38503511,21.2925211,1657.350414,4747.032781,4851.003736,1271.380167,12.61512156,12.621792,2.366051023,12.55638321
Afghanistan,AFG,1982,12577.431,0.050599608,Afghani,0.017339068,10035.49959,797.8974076,864.282758,886.5942345,72.19585991,7.344535934,23.04110612,34.26719781,34.34959978,40.46156376,19.74268381,19.81731128,25.99274519,5.726816943,6.203290166,1424.361623,1459.838306,1428.540985,72.45757402,6.980732052,22.18069174,21.58267193,1836.032018,5278.521283,5394.16625,1408.861717,10.80611632,10.80679809,1.923180832,10.74899808
Afghanistan,AFG,1983,12430.58,0.050599608,Afghani,0.015788753,10894.48157,876.4258442,943.7327266,968.7643195,72.6355368,7.25706586,22.75980011,31.20331051,31.31067292,36.64498016,18.20568492,18.27387684,25.84734414,5.84280549,6.291515468,1512.052378,1549.731766,1516.487847,72.50365367,6.984993799,22.18675102,21.45926016,1947.761149,5614.062705,5737.132233,1495.534634,6.156411546,6.157768257,4.918296188,6.215257959
Afghanistan,AFG,1984,12753.843,0.050599606,Afghani,0.014794571,11493.21839,901.1572736,969.3908529,994.9291305,72.50958984,7.17469357,22.95018312,29.23850964,29.33115558,34.37079679,17.25298701,17.0358769,25.83769991,5.448412402,5.860953798,1501.257066,1538.663334,1505.683319,72.42364118,6.981707589,22.25057627,21.44448009,1933.263237,5594.066819,5716.597503,1484.89703,-0.712470476,-0.714215986,1.867756891,-0.732772647
Afghanistan,AFG,1985,13093.708,0.050599605,Afghani,0.014175174,11857.83148,905.6129465,972.3200645,997.8832552,72.28947613,7.229653092,23.10996296,28.01439629,28.158652,33.04042164,16.41586215,16.17348796,25.89259644,5.148674259,5.527923719,1465.890154,1502.361984,1470.194977,72.45702237,6.987756487,22.20527438,21.4947505,1887.192645,5472.430226,5592.163802,1449.910722,-2.356959215,-2.359278251,0.242656233,-2.364728395
Afghanistan,AFG,1986,13084.962,0.050599605,Afghani,0.013438876,12502.61113,955.4946456,1024.597155,1051.656803,72.29628931,7.171262259,23.17345202,26.55925117,26.71593835,31.323306,15.69064973,15.29785924,25.8592138,5.185330465,5.560339735,1510.819773,1548.418273,1515.260662,72.45882981,6.987810519,22.21378634,21.46575853,1945.77192,5649.953928,5773.588746,1494.340821,3.065286289,3.065592013,2.996748897,3.075849265
Afghanistan,AFG,1987,12999.488,0.050599605,Afghani,0.012601983,11593.9174,891.8749259,955.4022449,980.5488905,71.81930169,7.200654948,23.61209135,24.90529987,25.11241531,29.56265531,14.66300406,14.08526661,25.86317002,4.598668031,4.92622635,1364.761225,1398.68292,1368.780232,72.4412335,6.991802862,22.22236911,21.4675118,1759.502103,5120.647578,5232.514424,1349.8833,-9.667012029,-9.670213534,-10.2602686,-9.674525405
Afghanistan,AFG,1988,13093.817,0.050599605,Afghani,0.012250941,11004.25889,840.4164267,898.5940283,922.2840333,71.86925309,7.073383803,23.69370435,24.21153444,24.41894844,28.72013719,14.5219843,13.63958127,25.87165992,4.060326848,4.341401884,1242.811631,1273.660666,1246.465604,72.44533912,6.99718874,22.21268336,21.47491698,1604.269278,4670.891569,4772.799863,1229.261696,-8.936031128,-8.93857017,-8.277795406,-8.938692799
Afghanistan,AFG,1989,13407.135,0.050599605,Afghani,0.015929162,10616.62827,791.864054,845.4321291,867.7517373,71.69987364,6.942150592,23.99799943,31.48080367,31.77427193,37.43003155,19.25176068,17.51240516,25.86468124,3.593045005,3.836107565,1128.137625,1156.10956,1131.457008,72.44040088,7.001531868,22.21498506,21.46814474,1457.873823,4248.205815,4340.7671,1115.837345,-9.226776537,-9.229389631,-7.057367057,-9.227863788
Afghanistan,AFG,1990,13449.366,0.050599605,Afghani,0.017091896,10721.54437,797.1784223,849.7395673,872.1902396,71.53298836,6.80006733,24.30900939,33.77871474,34.10677162,40.2547569,21.09079016,18.5512865,25.86650343,3.457877268,3.685868874,1089.492842,1116.501035,1092.699667,72.43768332,7.002171759,22.21593425,21.46947122,1409.49333,4118.970378,4208.690483,1077.615114,-3.425436484,-3.426018328,-3.121820913,-3.427057227
Afghanistan,AFG,1991,13527.169,0.050599605,Afghani,0.017149703,9854.849302,728.5226718,774.5301685,822.4048244,75.03777399,7.259386268,23.88396191,33.89295791,34.23563381,40.09489403,20.64731319,19.08208734,34.47512031,3.101062577,3.296900169,969.8450071,994.3255831,972.1670297,75.03955336,7.255530724,22.26048341,28.38844597,1256.150066,3684.175575,3768.1488,952.3759987,-11.03071969,-10.94270832,-10.42752237,-8.464501142
Afghanistan,AFG,1992,14855.198,0.050599605,Afghani,0.017195007,10224.67669,688.2894921,729.6758471,800.8115552,78.59316861,7.366040037,23.78973788,33.98249191,34.30163875,39.9041076,21.22383275,19.345976,43.08373734,2.806263132,2.975001727,902.0617023,925.220414,903.9125497,77.6123718,7.508757648,22.30422478,35.23558611,1169.40088,3443.09438,3524.258192,879.6526244,-7.020859373,-6.949953848,2.185228816,-4.458883069
Afghanistan,AFG,1993,16819.735,0.050599605,Afghani,0.017258738,7811.555178,464.4279579,492.3178811,557.5833089,81.21442922,7.780665156,24.2616713,34.10844412,34.52989003,40.23689089,20.95483745,19.17549468,51.69235453,1.825037556,1.934635086,600.9031287,616.5774576,601.9846277,80.15654871,7.761753784,22.34718134,42.01170342,779.2260116,2304.165082,2360.020809,582.024988,-33.40233766,-33.35885716,-24.54584836,-31.64060518
Afghanistan,AFG,1994,18287.708,0.425099934,Afghani,0.14566767,6171.007656,337.4401897,357.9458454,418.0962457,84.64965762,8.140324178,24.01434796,34.26668837,34.64211292,40.20782922,20.87282868,19.60041737,60.30097107,1.262896864,1.339640919,431.8470381,443.2929581,432.4809726,82.67645958,8.010209023,22.38997308,48.71891431,561.0602005,1663.159545,1704.738385,415.5417047,-28.15747236,-28.10425476,-21.82942268,-26.31707826
Afghanistan,AFG,1995,19225.942,0.833333333,Afghani,0.285856989,9434.496037,490.7169717,520.5918063,626.3557981,87.53355719,8.327031168,24.45551929,34.30283865,34.72004701,40.30321257,21.16303074,19.40235149,68.90958784,1.775540155,1.883634987,619.0443429,635.7064179,619.8245698,85.17006126,8.256817244,22.43223207,55.35759971,805.5154022,2394.799563,2456.161834,591.878592,43.31834442,43.40548529,50.76277151,46.84556598
Afghanistan,AFG,1996,19864.649,2.5000225,Afghani,0.861206337,9069.799417,456.5798981,483.7518788,599.1692643,90.59235604,8.586087841,24.68035452,34.44794345,34.89859814,40.45031594,21.2754657,19.44147547,77.51820452,1.580205231,1.674246397,570.3822708,586.0418131,570.9474535,87.65806118,8.480752581,22.47694166,61.93691589,743.9526349,2212.107158,2270.589494,541.9669116,-7.885637111,-7.812506433,-4.749936212,-5.676471191
Afghanistan,AFG,1997,20490.223,3.00003,Afghani,1.039668608,8703.699017,424.7732695,449.7798183,573.1770223,94.06809502,9.13224472,24.2346849,34.6552737,35.07703289,40.48660081,20.80225937,20.05601236,86.12682116,1.398911989,1.48126642,527.1998243,541.8857122,527.5741884,90.10163447,8.722594574,22.51833196,68.44277593,689.1885904,2054.11207,2109.834041,497.9064044,-7.596717507,-7.534633178,-4.62273026,-5.463432627
Afghanistan,AFG,1998,21132.123,3.000052503,Afghani,1.046453532,8348.228347,395.0492029,417.6806855,547.3798251,97.69375948,9.427622706,23.93084123,34.88117396,35.27091636,40.48368308,21.05689381,20.58356336,94.73543772,1.246721701,1.318143591,490.5892594,504.3032853,490.8765971,92.47442136,9.007833353,22.55272273,74.86147343,642.9632267,1920.317053,1972.842471,460.6031508,-6.955911043,-6.935489541,-4.020044977,-4.918577832
Afghanistan,AFG,1999,21821.568,46.61953108,Afghani,15.7580666,8046.974453,368.7624305,390.1224739,524.997265,100.6984159,9.683396065,24.19061088,33.80142665,34.18706772,39.26643269,20.2278134,19.86690384,103.3440543,1.1063395,1.170422654,453.9752842,467.1788306,454.2412596,94.98376623,9.132570895,22.60945303,81.29400018,596.16406,1784.381559,1835.20381,423.7464061,-7.463247937,-7.361533383,-4.339161821,-5.417567907
Afghanistan,AFG,2000,22020.952,47.35757473,Afghani,21.50658494,7777.188577,353.1722233,374.3646606,516.9092721,103.5032062,9.940585846,24.63261493,45.41318905,45.89177083,52.85034275,27.495266,26.39052771,111.9526708,1.006751365,1.067162445,427.411598,439.8223068,427.6499954,97.2864332,9.433899257,22.64000577,87.57229355,562.5413671,1702.705973,1751.17053,396.7107338,-5.8539958,-5.855685658,-4.99548762,-3.941414875
Afghanistan,AFG,2001,22022.199,47.50001452,Afghani,22.78266178,7548.503487,342.7679264,362.3934579,505.8554234,103.9126109,10.14118745,25.53355139,47.96348384,48.60775143,55.91336724,29.28856523,28.34116814,110.9214569,0.954834558,1.009504596,406.1702875,417.6921186,406.472403,97.12977712,9.634224562,23.68402115,86.06409588,535.5934989,1618.525763,1663.201363,376.0713542,-4.952085252,-5.031620243,-5.026242384,-4.23639791
Afghanistan,AFG,2002,23050.743,47.263,Afghani,15.89843999,12364.48357,536.4028209,568.0210019,734.2711639,99.83864437,9.165622932,20.26404523,33.63823707,33.69132932,38.4066139,19.87327726,19.31606704,92.1567231,1.457765567,1.543693332,614.7942892,632.7475678,615.0989204,95.11296731,8.773440981,19.02304096,74.58082325,808.5659944,2447.144645,2517.35903,580.8701998,51.32612101,51.48659494,58.56175706,42.89739761
Afghanistan,AFG,2003,24388.58,48.76275358,Afghani,15.6672382,14894.96726,610.735322,644.8455028,938.7368045,108.2626004,10.66657273,26.64628649,32.12951904,32.65042789,37.45938354,19.45659899,19.55747979,132.7798323,1.598966548,1.688270434,703.8568755,724.5717391,704.6688127,99.47435047,9.876890113,25.02502905,101.3061841,922.7163949,2798.788657,2877.838679,643.0926392,14.5618679,14.51197539,21.15811073,24.94047708
Afghanistan,AFG,2004,25001.339,47.8453125,Afghani,16.34653774,16682.85997,667.2786592,717.8115714,1020.102931,98.83640987,12.77316409,30.5033386,34.16539026,35.67588691,42.58090756,17.96619266,19.49632731,107.8278152,1.657454507,1.782973287,696.6011998,706.8713558,696.6976401,97.93052638,12.76760804,30.33516129,92.94930938,910.0863947,2754.977476,2795.20778,678.4057123,-1.131194176,-2.442875196,0.008231275,2.708479784
Afghanistan,AFG,2005,25538.045,49.4945975,Afghani,17.08876833,19810.73144,775.734064,813.4358958,1163.314343,98.73729776,15.30378179,28.97133842,34.52653258,35.26124802,37.81152327,15.02983043,37.26498241,96.46660227,1.826013338,1.914760308,775.734064,775.734064,775.734064,98.73729776,15.30378179,28.97133842,90.07863519,1010.838363,3052.306385,3052.306385,775.734064,11.34443686,9.741901077,12.09774037,11.75431709
Afghanistan,AFG,2006,26235.211,49.92533083,Afghani,18.12902016,22487.31571,857.1425522,906.50398,1248.946606,95.08500422,15.69856665,26.99261471,36.31226846,37.39979292,38.77541364,15.70016693,44.15948419,86.8990588,1.922242276,2.032941042,799.4455125,794.9803952,799.4455125,99.08945694,16.1971968,27.71450421,85.20744197,1038.744389,3134.797632,3117.288948,826.6137609,3.05664654,2.481047573,5.278689366,2.646050606
Afghanistan,AFG,2007,26911.532,49.96201777,Afghani,18.82638124,26857.47163,997.9911822,1061.257947,1436.582119,92.71560895,18.17059173,24.47976981,37.68138693,39.38282942,41.23320144,15.07349242,47.07524242,73.8800583,2.155681361,2.292338866,894.2075646,874.6508504,894.1769944,97.48816033,18.61305085,25.48427634,76.5761564,1158.851712,3485.031842,3408.929198,930.6424656,11.84964834,10.02168805,12.8579518,9.463015341
Afghanistan,AFG,2008,27658.891,50.25001233,Afghani,18.91552951,28662.5336,1036.286437,1098.862795,1452.974378,92.79031059,17.00638624,22.42858041,37.64283556,39.11530658,40.98933202,15.17595061,46.34265049,69.96847835,2.218264913,2.352215273,894.0371751,879.0273042,893.714334,97.51866039,17.52741714,23.42421386,76.27596964,1155.451229,3452.744538,3396.003184,932.3537171,-0.051741477,0.500365809,3.291357153,-1.888904875
Afghanistan,AFG,2009,28395.716,50.23333333,Afghani,19.09545581,32855.67029,1157.064336,1199.68756,1540.991763,92.75729171,16.04987614,19.64225634,38.01351521,38.27806106,42.05442209,22.60387355,33.94783856,58.54040683,2.562295003,2.656683249,1018.121511,1007.206826,1017.495581,94.67330115,15.77257098,20.00013048,66.9354559,1311.084116,3901.607527,3862.155089,1040.422729,13.8502027,14.58197277,17.63440398,7.70406673
Afghanistan,AFG,2010,29121.286,46.47833333,Afghani,23.81405807,30594.20244,1050.578688,1078.90417,1525.829391,104.2277517,17.40544532,19.79079912,51.23690193,52.89882063,45.62737587,72.53946443,68.50815307,83.5888903,2.255982406,2.316807729,1049.356133,1040.442419,1048.599213,92.79285526,14.90395341,17.53616897,57.46604791,1346.590789,3979.863187,3948.904816,934.2636612,3.056881324,3.29977837,5.939304001,-0.907838939
Albania,ALB,1950,1227.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1951,1254.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1952,1282.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1953,1314.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1954,1352.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1955,1392.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1956,1434.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1957,1476.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1958,1521.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1959,1571.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1960,1623.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1961,1676.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1962,1728.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1963,1779.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1964,1832.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1965,1883.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1966,1932.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1967,1984.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1968,2038.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1969,2100.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1970,2156.612,5,Lek,7.14483281,1642.478473,761.6012861,772.7771306,771.5400926,49.78365522,6.37287815,43.68338969,142.8966562,146.3908574,169.1617802,129.0488276,114.963234,44.72560847,15.15949227,15.38194479,2886.177799,2999.889397,2987.134074,54.66391562,6.779544219,47.83295741,48.58868723,3789.154908,7890.414108,7924.106864,3159.241434,,,,
Albania,ALB,1971,2208.719,5,Lek,6.725623046,1794.920912,812.6524522,825.9587862,824.6086051,49.8251095,6.418090712,43.59333146,134.5124609,137.6607279,159.113025,120.6485554,108.416059,44.72584526,15.09732046,15.3445233,2930.383472,3045.740399,3032.893263,54.6808138,6.782811886,47.81901206,48.60815568,3839.019648,7955.204389,7988.902112,3207.930313,1.531875945,1.528423087,3.981502983,1.534264646
Albania,ALB,1972,2263.554,5,Lek,6.347075093,1956.602884,864.3941714,877.9802294,876.4573204,49.57261742,6.327830823,43.92609581,126.9415019,130.2179097,150.9311836,115.472787,101.4991644,44.74161361,14.76766284,14.9997726,2974.425473,3091.435664,3078.451853,54.67708771,6.781544529,47.79847031,48.60164252,3887.060197,8018.571373,8052.390842,3255.736403,1.502149494,1.500300697,4.020208838,1.477624632
Albania,ALB,1973,2295.691,5,Lek,5.902258132,2164.629098,942.9096067,954.165429,952.8093684,49.09444742,6.210588333,44.55284418,118.0451626,121.8317702,141.6798275,109.3507855,93.19650309,44.70936654,14.55419161,14.72792979,3051.505718,3172.014094,3158.280303,54.63385551,6.774278049,47.88137465,48.55627456,3976.103531,8169.711315,8205.237327,3340.002245,2.593136198,2.606505154,4.063269718,2.63464361
Albania,ALB,1974,2347.924,5,Lek,5.307799931,2475.834153,1054.477978,1074.396497,1072.534407,49.30751214,6.302636092,44.21653678,106.1559986,108.7725056,126.9101807,97.02444728,84.29553886,44.72655561,15.13892603,15.42489216,3099.490618,3221.198775,3207.845079,54.73153959,6.792620931,47.7771502,48.66659704,4023.973406,8241.030644,8275.336609,3394.00934,1.569359633,1.550582068,3.861124538,1.562966599
Albania,ALB,1975,2401.108,5,Lek,4.80988512,2810.846227,1170.64548,1196.147066,1193.715309,49.34242555,6.245661104,44.20861423,96.19770241,98.55468597,114.9313615,88.63666167,76.3360501,44.78891864,15.53733697,15.87580556,3156.23543,3280.141668,3266.455568,54.66591333,6.777743773,47.73686642,48.5821098,4079.886875,8334.459072,8369.379563,3453.444982,1.827098507,1.829843368,4.136442044,1.72129114
Albania,ALB,1976,2454.824,5,Lek,4.476025194,3108.030573,1266.091,1293.773085,1293.137141,48.93867404,6.097617462,44.91455428,89.52050389,91.84087532,107.6929612,84.33247411,70.41947708,44.61262537,15.22521315,15.55810047,3214.46069,3342.875173,3327.157926,54.50430873,6.752503793,48.12980038,48.42032788,4134.70286,8431.925052,8471.756839,3518.028518,1.858355528,1.912524269,4.192443854,2.092594715
Albania,ALB,1977,2509.048,5,Lek,4.182553718,3418.99059,1362.664481,1393.56039,1389.845001,49.74984606,6.2813386,43.70220408,83.65107437,85.43647877,99.23453039,77.00718127,66.84335318,44.77812283,14.87182888,15.20902023,3251.654487,3377.142305,3364.786611,55.02557716,6.847834602,47.4634255,48.99867734,4158.100961,8469.999326,8501.101661,3565.314772,1.130955775,1.025079614,3.256597604,0.991598431
Albania,ALB,1978,2563.376,5,Lek,3.827341283,3846.643741,1500.616274,1536.77424,1532.259921,48.94655629,6.186118215,44.57357262,76.54682567,78.48445532,92.2119869,70.99670724,60.08983852,44.97600774,14.64256278,14.99538135,3338.793031,3469.77074,3454.603487,54.4696697,6.733256286,47.61640495,48.32946577,4245.268657,8638.059345,8675.984285,3644.649494,2.66931865,2.742805216,4.967478129,2.268181505
Albania,ALB,1979,2617.679,6.167123288,Lek,3.464027776,4375.370367,1671.469408,1711.126805,1718.15847,48.40397285,6.064300584,45.94266427,56.16926425,57.72357559,68.04528914,52.91245721,44.11304129,44.08374552,14.75807464,15.10822573,3402.942192,3545.919433,3523.842909,54.02122718,6.677054402,49.30439039,47.93671627,4309.041911,8752.779426,8807.614716,3726.956116,2.00426537,2.194631821,4.359540555,3.243017365
Albania,ALB,1980,2671.412,7,Lek,3.167099157,4904.172313,1835.797815,1875.378297,1858.079268,50.59837601,6.580986457,41.89820875,45.24427368,46.06017894,53.16093145,40.54244721,36.3824145,45.27461523,15.07221322,15.39717572,3375.143664,3491.421278,3489.610388,56.61619745,7.138731021,45.4300213,50.76347709,4250.680703,8610.669876,8615.138275,3721.181495,-0.971454209,-1.536925924,0.484221955,-2.184029797
Albania,ALB,1981,2724.272,7,Lek,2.7973653,5743.261347,2108.182056,2166.390134,2158.217962,48.19564992,6.084972144,45.34215259,39.96236143,41.06709038,48.75524159,36.79702871,31.02229018,45.56966247,15.58641302,16.01676254,3626.586729,3775.629206,3750.763873,52.83954735,6.39727109,48.06499622,46.36709463,4556.680259,9177.346678,9238.187027,3907.207215,7.48374332,8.140178612,10.27997953,6.287358652
